palabras_clave
horas extras, no pagadas, salario, compensación
despido, sin justificación, despido injustificado, compensación
acoso laboral, acoso, violencia, hostigamiento
condiciones de trabajo, inseguro, peligro, seguridad
salario, no pagado, retraso, pago
estrés, bajo rendimiento, salud, trabajo, sobrecarga
discriminación, género, igualdad, trato desigual
favoritismo, tareas, desigualdad, injusto
pelea, conflicto, compañero, comportamiento
vacaciones, no permitido, descanso, ley
teléfono, uso, trabajo, política
robo, material, oficina, sanción, investigación
despido, razones políticas, derechos, injustificado
discriminación, raza, igualdad, trato desigual
comisiones, ventas, no pagadas, salario
horario, flexible, cambio, contrato
bajo rendimiento, enfermedad, adaptación, salud
pago, enfermedad, compensación, salario
aumento, salario, contrato, incumplimiento
evaluación, desempeño, retroalimentación, justicia
trabajo, horas extras, contrato, obligación
equipo, trabajo, material, justificación
trato, jefe, empleado, conflicto, comunicación
privacidad, derecho, confidencialidad
transparencia, decisiones, comunicación, empresa
tareas, asignación, conflicto, trabajo
acoso sexual, compañero, trabajo, medidas disciplinarias
ideas, participación, trabajo, empresa
contrato, temporal, incumplimiento, trabajo
licencia, maternidad, solicitud, trabajo
despido, faltas, ausencias, políticas
descanso, horario, conflicto, trabajo
salud, trabajo, ajuste, teletrabajo
recursos, trabajo, equipo, insuficiente
acoso verbal, compañero, trabajo, medidas disciplinarias
descanso, turno, tiempo, salud
mala conducta, acusación, pruebas, investigación
equipo, trabajo, herramientas, recursos
evaluación, desempeño, justicia, equidad
tareas, asignación, experiencia, equidad
sobrecarga, estrés, salud, distribución
despido, acusación falsa, injustificado, investigación
transferencia, interna, solicitud, respuesta
cuidado familiar, horario flexible, adaptación
contrato, copia, transparencia, derechos
estacionamiento, privilegios, equidad
feriados, pago diferencial, recargos
documento en blanco, fraude, ética
alimentos, prohibición, bienestar laboral
uniforme, condiciones, higiene
cambio de funciones, unilateral, acuerdo
pertenencias, robo, seguridad personal
agua potable, condiciones básicas, higiene
título profesional, categoría, remuneración
exámenes médicos, permisos, salud
